rule_id,rule_name,rule_category,severity,pattern,action,description
1001,sql_injection_detection,injection,high,"('|\"|;|--|union|select|drop|insert|update|delete|from|where)","block","Detects basic SQL injection patterns"
1002,xss_script_detection,xss,high,"(<script|javascript:|onload=|onerror=|alert\(|document\.cookie)","block","Detects XSS script patterns"
1003,path_traversal_detection,lfi,high,"(\.\./|\.\.\\|/etc/passwd|/etc/shadow|/windows/win.ini)","block","Detects path traversal attempts"
1004,command_injection_detection,rce,high,"(;|\||&|`|\$\(|\|\||&&)","block","Detects command injection patterns"
1005,ldap_injection_detection,injection,medium,"(\*|\(|\)|&|\|)","block","Detects LDAP injection patterns"
1006,ssi_injection_detection,injection,medium,"(<!--#|#exec|#include|#echo)","block","Detects SSI injection patterns"
1007,xml_injection_detection,injection,high,"(<\!ENTITY|<!DOCTYPE|SYSTEM|PUBLIC)","block","Detects XML injection patterns"
1008,protocol_anomaly,protocol,medium,"(http/(0\.9|1\.0)|host:\s*$|content-length:\s*[a-z])","block","Detects HTTP protocol anomalies"
1009,scanner_detection,scanner,low,"(nmap|nessus|nikto|acunetix|w3af|burp)","detect","Detects security scanner user agents"
1010,file_upload_attempt,file_upload,medium,"(\.php|\.jsp|\.asp|\.sh|\.py|\.pl)","block","Detects suspicious file upload extensions"
1011,data_leakage,information_disclosure,medium,"(password|credit.card|ssn|social.security)","detect","Detects potential data leakage"
1012,session_fixation,session,medium,"(jsessionid|phpsessid|aspsessionid)","detect","Detects session fixation attempts"
1014,sqli_union,injection,critical,"(union.*select|select.*from)","block","Detects UNION-based SQL injection"
1015,xss_event_handler,xss,high,"(onmouseover|onclick|onfocus|onblur|onchange)","block","Detects XSS event handlers"
1016,os_commanding,rce,critical,"(system\(|exec\(|passthru\(|shell_exec\()","block","Detects OS command execution patterns"
1017,header_injection,header_manipulation,medium,"(%0a|%0d|\\n|\\r)","block","Detects HTTP header injection"
1019,path_traversal_windows,lfi,high,"(\.\.\\|\\windows\\|\\system32\\)","block","Detects Windows path traversal"
1020,json_injection,injection,medium,"(\"\\s*:\s*\"\s*[{}]|\"\\s*:\s*\[)","detect","Detects JSON injection patterns"
